,xpe,gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gs(std1),gs(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),A(std1),A(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),E(std1),E(std2)
day,highCa_inter_inter,3.7083348575812582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,highCa_wet_wet,4.787253043809856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,highD_inter_inter,3.183974949079475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,highD_wet_wet,5.219380581177412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,insample_dry_inter,2.9823759027551833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,insample_dry_wet,4.7723546425093195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,insample_inter_inter,5.8101915382721785,5.905456428186354,6.652918514036017,3.0534096658188727,-3.948964665088229,8.308081214027194,4.4620649118966345,6.2574927954541435,2.137683625693309,4.34173030382093,5.757167523410239,,,-0.35617187637216097,-1.592624828909088,0.7743783212709978,2.024299324021583,-3.099773282041442,1.0747047689879525,0.8819016315080719,2.290850987350678,0.7867017961702867,-22.00835125067738,-21.41352243572677,,,-3.1512213486088863,5.9051180601542175,6.652517283924478,3.05307499052617,-3.948835726979176,8.307561017374884,4.461831425018181,6.257111320052931,2.1374759209418768,4.341446242491628,5.7567992693749686,,
day,insample_inter_wet,6.972474171349723,18.77160253159392,20.953742450064272,20.81367702135942,11.251596960142642,18.646444430473448,21.651322671692956,21.3873924291661,19.518455821893575,23.384894957392177,22.253157218494113,,,5.1407249356565,1.839212289536705,4.447188809461028,6.514860199900342,1.7407022043243372,3.7371792034243825,5.2555666086566815,6.037057863390287,5.3466294749025645,-11.97548958865154,-12.844079294621688,,,16.360967776736697,18.770236352525572,20.952170457106675,20.81177361875658,11.250661987478292,18.645084986215235,21.64967567818192,21.38572218061061,19.516782999123386,23.383086819485758,22.25144029877292,,
day,insample_wet_inter,4.822266411417426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,insample_wet_wet,7.16461512996813,2.3768719441140833,2.660230806816022,-3.278462426513345,-6.102821744076582,0.800461449715687,3.0019126101762996,-0.12872119458766845,-1.1999907244634713,4.565145381591174,3.30305884898737,,,-0.5941784526397721,-2.9618127095659275,-1.000619372712066,-0.19927685606352347,-3.182271528525866,-1.675515968700327,-0.311890366511286,-0.1205748642619266,-0.4961200944956977,-14.302866287850025,-15.767473922009664,,,-3.2525369342041004,2.376690780281902,2.6600360649010795,-3.2783299004041138,-6.102426287065455,0.8004124142226837,3.0017039484914863,-0.1286639363935331,-1.2000074673304157,4.564762473168594,3.302794376944572,,
day,vargb_insample_inter_inter,4.738029494174268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,vargb_insample_wet_wet,6.900941913691031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,highCa_inter_inter,3.311293678438216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,highCa_wet_wet,3.9515883122340596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,highD_inter_inter,3.59815151424273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,highD_wet_wet,5.459309315003176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,insample_dry_inter,3.115774401610347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,insample_dry_wet,4.570663137603801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,insample_inter_inter,5.726966709524676,13.066808165687965,19.460307879327782,-7.073193285876195,9.027160879876146,21.87645131565093,11.655454210458121,5.183399410493511,3.260586205477974,12.707720709487694,23.3909024891252,,,-0.20814798282578353,-1.4880176455155456,2.349997186847987,-0.8545528432112734,1.1317535275127637,2.450910018885008,1.7586234511519312,1.0407418784496876,1.1984079865142723,-18.266268928057126,-14.011383001641931,,,-3.497090446160901,13.065947080531314,19.459032911073077,-7.072924521936008,9.026535240490071,21.874991485211517,11.654756737212224,5.183132168771971,3.2602188771811966,12.706768094541768,23.389291872845693,,
mornNeve,insample_inter_wet,6.660921108094708,26.450063430502656,33.85224659918848,6.432808103421342,23.14048986526608,32.440836888310685,28.13242096360532,18.55857387587659,17.375229099209818,30.907414879437624,39.92697544284174,,,2.7385180924284644,0.7746491726026066,4.250483192423691,1.8884672030302747,3.270426687049277,3.839727793327995,4.09539478526204,3.2262524332126485,3.5025463812851725,-9.657471050683679,-7.25340066912393,,,12.07017587962458,26.44809635689509,33.849649483013344,6.432128036831397,23.13868010375386,32.43840861055628,28.130302002952433,18.557256889039536,17.3736865097922,30.90499187150815,39.92378191387632,,
mornNeve,insample_wet_inter,4.863813847012957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,insample_wet_wet,6.766232025320461,12.608002668792084,17.4858406690322,-11.956235130444698,5.697516193507577,16.724176881335783,12.481687833103578,0.47619413100454105,-2.159555118012238,14.852565526955342,20.88849702423112,,,-0.6663585523531541,-1.8463309919973965,1.1060244318883568,-1.81426490625189,0.08621689464957873,0.7331308003033724,0.9806836882702693,-0.26054213200028375,-0.16855779898601453,-10.146452783912778,-8.7728160226266,,,-5.191268255220883,12.606987193786676,17.484499049038604,-11.95556300726393,5.697093081437108,16.72291454910857,12.480768131653171,0.4762562406410359,-2.1595483390681625,14.851302520455977,20.886855761422048,,
mornNeve,vargb_insample_inter_inter,4.811063055272769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,vargb_insample_wet_wet,6.306028478904155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,highCa_inter_inter,3.9787009938548468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,highCa_wet_wet,5.356300932454331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,highD_inter_inter,2.901940430896882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,highD_wet_wet,5.056000538619851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,insample_dry_inter,2.8898136790597664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,insample_dry_wet,4.912303849994782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,insample_inter_inter,5.866863683562155,1.0289169116971526,-2.068303768043615,9.94914405673505,-12.785088250468748,-0.9313327123165951,-0.43629065807618206,6.988899243308275,1.373040440411384,-1.3551107819426265,-6.250566286576617,,,-0.4569690991204133,-1.663857339505654,-0.2985430967171381,3.9846605617087203,-5.9812415380712265,0.137574527391385,0.2848958209886833,3.1421157615070685,0.5063494856027153,-24.55653111798546,-26.45402690750838,,,-2.9157009631329873,1.02893448913553,-2.068110024086232,9.948398468059946,-12.784445481017737,-0.9312130631043412,-0.43620819233300256,6.988439980210918,1.372941431693183,-1.3549395900949006,-6.250088551083666,,
arvo,insample_inter_wet,7.184626971566257,13.54293630043228,12.170475338993997,30.606363951193437,3.155827029510969,9.253120042517601,17.238003358628838,23.31368315831088,20.97789116162587,18.262417105713638,10.218128618105002,,,6.776513405092734,2.5641290786870643,4.581135967729303,9.665213526340441,0.6990326756116375,3.667348496966209,6.045588374111127,7.9510825134636285,6.602362248175359,-13.5539498311725,-16.651065215793984,,,19.282792735246375,13.541979301931073,12.16960140613213,30.603627515019934,3.1554877463954076,9.252488422973478,17.236677752266775,23.311772355347127,20.976129656144142,18.261027665013412,10.217417198964444,,
arvo,insample_wet_inter,4.793974586226168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,insample_wet_wet,7.435895053609169,-4.590040882690465,-7.435303527931196,2.630687557592289,-14.138289958717232,-10.04283048705417,-3.4533628987694125,-0.5406397258242679,-0.5465730659993135,-2.4400978602520467,-8.671787146535749,,,-0.5450272418825641,-3.7214026410530705,-2.435143487273305,0.9004531019218878,-5.407956502402476,-3.315689720926656,-1.1920717466720583,-0.025263820040092963,-0.7191744195332438,-17.133185959578707,-20.530502872541934,,,-1.9323532251307662,-4.589653920342777,-7.434717300487796,2.6304526437909015,-14.137337095140998,-10.042053325247245,-3.4530873762329106,-0.5405857712313582,-0.5466058260994753,-2.4398814637937662,-8.671114089628192,,
arvo,vargb_insample_inter_inter,4.688297116854816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,vargb_insample_wet_wet,7.306049633569738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
